[grpo] Qwen/Qwen3-0.6B on complex_maze levels=[0, 1, 2, 3, 4] group=4 steps=80 smoke=False
[step 1] L1 mean_reward=0.1900 wins=0/4 parse_rate=0.85 std=0.0180 loss=-0.0082 gpu=3.5G t=01:21:12
[step 26] L1 mean_reward=0.2200 wins=0/4 parse_rate=1.00 std=1.0000 loss=0.0000 gpu=3.5G t=01:31:04
[step 27] L2 mean_reward=0.2200 wins=0/4 parse_rate=1.00 std=1.0000 loss=0.0000 gpu=3.5G t=01:31:24
[step 28] L3 mean_reward=0.2200 wins=0/4 parse_rate=1.00 std=1.0000 loss=0.0000 gpu=3.5G t=01:31:43
[step 29] L4 mean_reward=0.2967 wins=0/4 parse_rate=1.00 std=0.0075 loss=0.0073 gpu=3.5G t=01:32:10
[step 30] L0 mean_reward=0.2200 wins=0/4 parse_rate=1.00 std=1.0000 loss=0.0000 gpu=3.5G t=01:32:29
[step 31] L1 mean_reward=0.2200 wins=0/4 parse_rate=1.00 std=1.0000 loss=0.0000 gpu=3.5G t=01:32:48
[step 32] L2 mean_reward=0.2200 wins=0/4 parse_rate=1.00 std=1.0000 loss=0.0000 gpu=3.5G t=01:33:07
[step 33] L3 mean_reward=0.2200 wins=0/4 parse_rate=1.00 std=1.0000 loss=0.0000 gpu=3.5G t=01:33:27
[step 34] L4 mean_reward=0.3017 wins=0/4 parse_rate=1.00 std=0.0191 loss=0.0019 gpu=3.5G t=01:33:54
[step 35] L0 mean_reward=0.2200 wins=0/4 parse_rate=1.00 std=1.0000 loss=0.0000 gpu=3.5G t=01:34:13
[step 36] L1 mean_reward=0.2200 wins=0/4 parse_rate=1.00 std=1.0000 loss=0.0000 gpu=3.5G t=01:34:32
[step 37] L2 mean_reward=0.2200 wins=0/4 parse_rate=1.00 std=1.0000 loss=0.0000 gpu=3.5G t=01:34:51
[step 38] L3 mean_reward=0.2200 wins=0/4 parse_rate=1.00 std=1.0000 loss=0.0000 gpu=3.5G t=01:35:10
[step 39] L4 mean_reward=0.2983 wins=0/4 parse_rate=1.00 std=0.0185 loss=-0.0167 gpu=3.5G t=01:35:37
[step 40] L0 mean_reward=0.2200 wins=0/4 parse_rate=1.00 std=1.0000 loss=0.0000 gpu=3.5G t=01:35:57
[step 41] L1 mean_reward=0.2200 wins=0/4 parse_rate=1.00 std=1.0000 loss=0.0000 gpu=3.5G t=01:36:16
[step 42] L2 mean_reward=0.2200 wins=0/4 parse_rate=1.00 std=1.0000 loss=0.0000 gpu=3.5G t=01:36:36
[step 43] L3 mean_reward=0.2200 wins=0/4 parse_rate=1.00 std=1.0000 loss=0.0000 gpu=3.5G t=01:36:55
[step 44] L4 mean_reward=0.2900 wins=0/4 parse_rate=1.00 std=0.0058 loss=-0.0028 gpu=3.5G t=01:37:23
[step 45] L0 mean_reward=0.2200 wins=0/4 parse_rate=1.00 std=1.0000 loss=0.0000 gpu=3.5G t=01:37:43
[step 46] L1 mean_reward=0.2200 wins=0/4 parse_rate=1.00 std=1.0000 loss=0.0000 gpu=3.5G t=01:38:02
[step 47] L2 mean_reward=0.2200 wins=0/4 parse_rate=1.00 std=1.0000 loss=0.0000 gpu=3.5G t=01:38:22
[step 48] L3 mean_reward=0.2200 wins=0/4 parse_rate=1.00 std=1.0000 loss=0.0000 gpu=3.5G t=01:38:41
[step 49] L4 mean_reward=0.2950 wins=0/4 parse_rate=1.00 std=0.0152 loss=0.0004 gpu=3.5G t=01:39:08
[step 50] L0 mean_reward=0.2200 wins=0/4 parse_rate=1.00 std=1.0000 loss=0.0000 gpu=3.5G t=01:39:28
[step 51] L1 mean_reward=0.2200 wins=0/4 parse_rate=1.00 std=1.0000 loss=0.0000 gpu=3.5G t=01:39:48
[step 52] L2 mean_reward=0.2200 wins=0/4 parse_rate=1.00 std=1.0000 loss=0.0000 gpu=3.5G t=01:40:07
[step 53] L3 mean_reward=0.2200 wins=0/4 parse_rate=1.00 std=1.0000 loss=0.0000 gpu=3.5G t=01:40:27
[step 54] L4 mean_reward=0.2900 wins=0/4 parse_rate=1.00 std=0.0100 loss=-0.0056 gpu=3.5G t=01:40:54
[step 55] L0 mean_reward=0.2200 wins=0/4 parse_rate=1.00 std=1.0000 loss=0.0000 gpu=3.5G t=01:41:14
[step 56] L1 mean_reward=0.2200 wins=0/4 parse_rate=1.00 std=1.0000 loss=0.0000 gpu=3.5G t=01:41:34
[step 57] L2 mean_reward=0.2200 wins=0/4 parse_rate=1.00 std=1.0000 loss=0.0000 gpu=3.5G t=01:41:54
[step 58] L3 mean_reward=0.2200 wins=0/4 parse_rate=1.00 std=1.0000 loss=0.0000 gpu=3.5G t=01:42:14
[step 59] L4 mean_reward=0.3117 wins=0/4 parse_rate=1.00 std=0.0185 loss=0.0027 gpu=3.5G t=01:42:41
[step 60] L0 mean_reward=0.2200 wins=0/4 parse_rate=1.00 std=1.0000 loss=0.0000 gpu=3.5G t=01:43:01
[step 61] L1 mean_reward=0.2200 wins=0/4 parse_rate=1.00 std=1.0000 loss=0.0000 gpu=3.5G t=01:43:20
[step 62] L2 mean_reward=0.2200 wins=0/4 parse_rate=1.00 std=1.0000 loss=0.0000 gpu=3.5G t=01:43:40
[step 63] L3 mean_reward=0.2200 wins=0/4 parse_rate=1.00 std=1.0000 loss=0.0000 gpu=3.5G t=01:44:00
[step 64] L4 mean_reward=0.2883 wins=0/4 parse_rate=1.00 std=0.0087 loss=0.0098 gpu=3.5G t=01:44:27
[step 65] L0 mean_reward=0.2200 wins=0/4 parse_rate=1.00 std=1.0000 loss=0.0000 gpu=3.5G t=01:44:47
[step 66] L1 mean_reward=0.2200 wins=0/4 parse_rate=1.00 std=1.0000 loss=0.0000 gpu=3.5G t=01:45:07
[step 67] L2 mean_reward=0.2200 wins=0/4 parse_rate=1.00 std=1.0000 loss=0.0000 gpu=3.5G t=01:45:27
[step 68] L3 mean_reward=0.2200 wins=0/4 parse_rate=1.00 std=1.0000 loss=0.0000 gpu=3.5G t=01:45:47
[step 69] L4 mean_reward=0.2917 wins=0/4 parse_rate=1.00 std=0.0223 loss=-0.0015 gpu=3.5G t=01:46:14
[step 70] L0 mean_reward=0.2200 wins=0/4 parse_rate=1.00 std=1.0000 loss=0.0000 gpu=3.5G t=01:46:34
[step 71] L1 mean_reward=0.2200 wins=0/4 parse_rate=1.00 std=1.0000 loss=0.0000 gpu=3.5G t=01:46:54
[step 72] L2 mean_reward=0.2200 wins=0/4 parse_rate=1.00 std=1.0000 loss=0.0000 gpu=3.5G t=01:47:15
[step 73] L3 mean_reward=0.2200 wins=0/4 parse_rate=1.00 std=1.0000 loss=0.0000 gpu=3.5G t=01:47:37
[step 74] L4 mean_reward=0.3017 wins=0/4 parse_rate=1.00 std=0.0087 loss=0.0100 gpu=3.5G t=01:48:06
[step 75] L0 mean_reward=0.2200 wins=0/4 parse_rate=1.00 std=1.0000 loss=0.0000 gpu=3.5G t=01:48:26
[step 76] L1 mean_reward=0.2200 wins=0/4 parse_rate=1.00 std=1.0000 loss=0.0000 gpu=3.5G t=01:48:45
[step 77] L2 mean_reward=0.2200 wins=0/4 parse_rate=1.00 std=1.0000 loss=0.0000 gpu=3.5G t=01:49:04
[step 78] L3 mean_reward=0.2200 wins=0/4 parse_rate=1.00 std=1.0000 loss=0.0000 gpu=3.5G t=01:49:23
[step 79] L4 mean_reward=0.3050 wins=0/4 parse_rate=1.00 std=0.0055 loss=-0.0043 gpu=3.5G t=01:49:50
[step 80] L0 mean_reward=0.2200 wins=0/4 parse_rate=1.00 std=1.0000 loss=0.0000 gpu=3.5G t=01:50:10
